"N","24"
"Eb:(1,2,4)/7","2  3"
"F:(1,2,4)/7","4  5"
"F#:(1,2,4)/7","5  6"
"G:(1,2,4)/7","6  7"
"A:(1,2,4)/7","8  9"
"Ab:(1,2,4)/7","7  8"
"B:(1,2,4)/7","10  11"
"Bb:(1,2,4)/7","9  10"
"C:(1,2,4)/9","2  0"
"C#:(1,2,4)/9","3  1"
"D:(1,2,4)/9","4  2"
"E:(1,2,4)/9","6  4"
"Eb:(1,2,4)/9","5  3"
"F:(1,2,4)/9","7  5"
"F#:(1,2,4)/9","8  6"
"G:(1,2,4)/9","9  7"
"A:(1,2,4)/9","11   9"
"Ab:(1,2,4)/9","10   8"
"B:(1,2,4)/9","1  11"
"Bb:(1,2,4)/9","0  10"
"C:(1,2,4)/b1","11   0"
"C#:(1,2,4)/b1","0  1"
"D:(1,2,4)/b1","1  2"
"E:(1,2,4)/b1","3  4"
"Eb:(1,2,4)/b1","2  3"
"F:(1,2,4)/b1","4  5"
"F#:(1,2,4)/b1","5  6"
"G:(1,2,4)/b1","6  7"
"A:(1,2,4)/b1","8  9"
"Ab:(1,2,4)/b1","7  8"
"B:(1,2,4)/b1","10  11"
"Bb:(1,2,4)/b1","9  10"
"C:(1,2,4)/b2","1  0"
"C#:(1,2,4)/b2","2  1"
"D:(1,2,4)/b2","3  2"
"E:(1,2,4)/b2","5  4"
"Eb:(1,2,4)/b2","4  3"
"F:(1,2,4)/b2","6  5"
"F#:(1,2,4)/b2","7  6"
"G:(1,2,4)/b2","8  7"
"A:(1,2,4)/b2","10   9"
"Ab:(1,2,4)/b2","9  8"
"B:(1,2,4)/b2","0  11"
"Bb:(1,2,4)/b2","11  10"
"C:(1,2,4)/b3","3  0"
"C#:(1,2,4)/b3","4  1"
"D:(1,2,4)/b3","5  2"
"E:(1,2,4)/b3","7  4"
"Eb:(1,2,4)/b3","6  3"
"F:(1,2,4)/b3","8  5"
"F#:(1,2,4)/b3","9  6"
"G:(1,2,4)/b3","10   7"
"A:(1,2,4)/b3","0  9"
"Ab:(1,2,4)/b3","11   8"
"B:(1,2,4)/b3","2  11"
"Bb:(1,2,4)/b3","1  10"
"C:(1,2,4)/b4","4  0"
"C#:(1,2,4)/b4","5  1"
"D:(1,2,4)/b4","6  2"
"E:(1,2,4)/b4","8  4"
"Eb:(1,2,4)/b4","7  3"
"F:(1,2,4)/b4","9  5"
"F#:(1,2,4)/b4","10   6"
"G:(1,2,4)/b4","11   7"
"A:(1,2,4)/b4","1  9"
"Ab:(1,2,4)/b4","0  8"
"B:(1,2,4)/b4","3  11"
"Bb:(1,2,4)/b4","2  10"
"C:(1,2,4)/b5","6  0"
"C#:(1,2,4)/b5","7  1"
"D:(1,2,4)/b5","8  2"
"E:(1,2,4)/b5","10   4"
"Eb:(1,2,4)/b5","9  3"
"F:(1,2,4)/b5","11   5"
"F#:(1,2,4)/b5","0  6"
"G:(1,2,4)/b5","1  7"
"A:(1,2,4)/b5","3  9"
"Ab:(1,2,4)/b5","2  8"
"B:(1,2,4)/b5","5  11"
"Bb:(1,2,4)/b5","4  10"
"C:(1,2,4)/b6","8  0"
"C#:(1,2,4)/b6","9  1"
"D:(1,2,4)/b6","10   2"
"E:(1,2,4)/b6","0  4"
"Eb:(1,2,4)/b6","11   3"
"F:(1,2,4)/b6","1  5"
"F#:(1,2,4)/b6","2  6"
"G:(1,2,4)/b6","3  7"
"A:(1,2,4)/b6","5  9"
"Ab:(1,2,4)/b6","4  8"
"B:(1,2,4)/b6","7  11"
"Bb:(1,2,4)/b6","6  10"
"C:(1,2,4)/b7","10   0"
"C#:(1,2,4)/b7","11   1"
"D:(1,2,4)/b7","0  2"
"E:(1,2,4)/b7","2  4"
"Eb:(1,2,4)/b7","1  3"
"F:(1,2,4)/b7","3  5"
"F#:(1,2,4)/b7","4  6"
"G:(1,2,4)/b7","5  7"
"A:(1,2,4)/b7","7  9"
"Ab:(1,2,4)/b7","6  8"
"B:(1,2,4)/b7","9  11"
"Bb:(1,2,4)/b7","8  10"
"C:(1,2,4)/b9","1  0"
"C#:(1,2,4)/b9","2  1"
"D:(1,2,4)/b9","3  2"
"E:(1,2,4)/b9","5  4"
"Eb:(1,2,4)/b9","4  3"
"F:(1,2,4)/b9","6  5"
"F#:(1,2,4)/b9","7  6"
"G:(1,2,4)/b9","8  7"
"A:(1,2,4)/b9","10   9"
"Ab:(1,2,4)/b9","9  8"
"B:(1,2,4)/b9","0  11"
"Bb:(1,2,4)/b9","11  10"
"C:(1,2,4)/#1","1  0"
"C#:(1,2,4)/#1","2  1"
"D:(1,2,4)/#1","3  2"
"E:(1,2,4)/#1","5  4"
"Eb:(1,2,4)/#1","4  3"
"F:(1,2,4)/#1","6  5"
"F#:(1,2,4)/#1","7  6"
"G:(1,2,4)/#1","8  7"
"A:(1,2,4)/#1","10   9"
"Ab:(1,2,4)/#1","9  8"
"B:(1,2,4)/#1","0  11"
"Bb:(1,2,4)/#1","11  10"
